pc4,INWONER,GEM_HH_GR,AV5_HORECA,OAD,median_inc,cluster,level_zip
2675,7670.0,2.4,96.6,769.0,34500.0,1,727
2676,4385.0,2.2,22.1,498.0,38000.0,3,728
2678,12395.0,2.4,43.199999999999996,1014.0,43900.0,2,729
2681,13990.0,2.3,73.6,1333.0,48200.0,3,730
2684,665.0,2.2,58.099999999999994,1357.0,51300.0,2,731
2685,6570.0,2.2,135.5,822.0,26800.0,3,732
2691,14005.0,2.3,105.2,1461.0,33500.0,3,733
2692,3495.0,2.4,120.4,1607.0,31600.0,1,734
2693,905.0,2.5,88.6,1292.0,28200.0,3,735
2694,3390.0,2.7,99.8,1599.0,32300.0,2,736
2711,4400.0,1.6,177.9,3682.0,30800.0,3,737
2712,5260.0,2.0,177.8,2653.0,44800.0,2,738
2713,6385.0,1.9,168.8,3397.0,46600.0,2,739
2715,5640.0,2.0,157.7,3526.0,44500.0,3,740
2716,9850.0,2.2,140.5,2628.0,25000.0,2,741
2717,7650.0,2.2,158.39999999999998,2403.0,35700.0,1,742
2718,8915.0,2.4,146.5,1708.0,37900.0,2,743
2719,11560.0,2.3,138.4,1643.0,46400.0,2,744
2721,10950.0,2.6,121.69999999999999,1693.0,37000.0,1,745
2722,5310.0,1.9,179.0,2908.0,39000.0,1,746
2723,3880.0,2.2,172.0,2542.0,44800.0,3,747
2724,7190.0,2.1,172.9,3226.0,44600.0,1,748
2725,5815.0,2.2,159.60000000000002,2124.0,43700.0,2,749
2726,6225.0,2.1,169.2,2919.0,38115.6746031746,3,750
2727,5275.0,2.4,160.8,2753.0,38200.0,3,751
2728,8640.0,2.4,147.3,1869.0,35900.0,1,752
2729,11985.0,2.7,140.7,2145.0,45800.0,2,753
2731,3560.0,2.6,55.5,801.0,45100.0,3,754
2735,75.0,3.0,10.9,91.0,34400.0,1,755
2741,11610.0,2.3,71.69999999999999,1584.0,43800.0,3,756
2742,9735.0,2.4,62.3,1693.0,38300.0,1,757
2743,6970.0,2.4,47.099999999999994,1251.0,30100.0,1,758
2751,4340.0,2.7,20.0,514.0,30500.0,3,759
2752,355.0,2.3,15.2,230.0,35500.0,2,760
2761,7950.0,2.5,20.299999999999997,696.0,36700.0,1,761
2771,16005.0,2.3,51.3,874.0,35100.0,3,762
2801,8135.0,1.8,172.3,3541.0,32200.0,3,763
2802,9795.0,2.1,168.1,2350.0,43500.0,1,764
2803,9475.0,2.1,181.3,2242.0,42200.0,1,765
2804,12315.0,2.2,175.2,2152.0,17300.0,3,766
2805,10700.0,2.2,168.6,2838.0,45400.0,1,767
2806,10045.0,2.2,173.7,3104.0,42000.0,1,768
2807,11045.0,2.5,158.0,1541.0,49500.0,3,769
2808,435.0,2.3,168.9,1673.0,39300.0,1,770
2809,1245.0,2.3,165.3,839.0,40700.0,1,771
