pc4,labels
6541,1
6542,0
6543,0
6544,0
6545,0
6546,1
6551,1
6561,1
6562,0
6564,1
6566,1
6571,1
6572,1
6573,1
6574,1
6575,0
6576,1
6577,1
6578,1
6579,1
6581,0
6582,1
6584,1
6585,1
6586,1
6587,1
6591,1
6595,1
6596,1
6598,0
6599,1
6601,0
6602,1
6603,0
6604,0
6605,0
6606,0
6611,0
6612,1
6613,1
6615,1
6616,1
6617,0
6621,1
6624,1
6626,1
6627,1
6628,0
6629,1
6631,1
6634,1
6641,0
6642,1
6644,0
6645,1
6651,1
6652,1
6653,1
6654,1
6655,0
6657,0
6658,1
6659,1
6661,0
6662,0
6663,0
6665,0
6666,1
6668,0
6669,0
6671,1
6672,1
6673,1
6674,1
6675,1
6676,1
6677,1
6678,1
6681,0
6684,1
6685,1
6686,0
6687,1
6691,0
6701,0
6702,0
6703,1
6704,1
6705,1
6706,0
6707,0
6708,0
6709,0
6711,1
6712,1
6713,0
6714,0
6715,0
6716,0
6717,0
6718,0
6721,0
6731,1
6732,0
6733,1
6741,0
6744,0
6745,1
6811,0
6812,1
6813,0
6814,0
6815,1
6816,1
6821,0
6822,0
6823,0
6824,0
6825,0
6826,0
6827,0
6828,0
6831,0
6832,0
6833,0
6834,0
6835,0
6836,1
6841,0
6842,1
6843,0
6844,0
6845,0
6846,0
6851,1
6852,0
6861,1
6862,1
6865,1
6866,1
6869,1
6871,1
6874,0
6877,0
6881,0
6882,1
6883,1
6891,1
6901,1
6902,1
6903,1
6904,1
6905,0
6909,1
6911,1
6913,1
6914,1
6915,1
6916,0
6917,1
6921,1
6922,0
6923,1
6924,1
6931,1
6932,1
6941,0
6942,0
6951,1
6952,1
6953,1
6955,1
6956,1
6957,1
6961,0
6964,1
6971,1
6974,1
6975,1
6981,1
6982,1
6983,1
6984,1
6986,1
6987,0
6988,1
6991,1
6994,1
6996,1
6997,1
6998,1
6999,1
7001,1
7002,1
7003,1
7004,1
7005,1
7006,0
7007,0
7008,1
7009,0
7011,0
7021,1
7025,1
7031,0
7035,1
7036,0
7037,0
7038,1
7039,1
7041,1
7044,1
7045,1
7046,0
7047,1
7048,1
7051,1
7054,1
7055,1
7061,1
7064,1
7065,1
7071,1
7075,1
7076,0
7077,1
7078,1
7081,1
7083,1
7084,1
7091,0
7095,1
7101,0
7102,1
7103,0
7104,1
7105,1
7106,1
7107,1
7108,1
7109,1
7113,1
7115,1
7119,1
7121,0
7122,0
7123,1
7126,1
7131,0
7132,1
7134,1
7135,1
7136,1
7137,1
7141,0
7142,1
7151,0
7152,1
7156,1
7157,1
7161,0
7165,1
7201,0
7202,1
7203,1
7204,0
7205,0
7206,0
7207,0
7211,1
7213,1
7214,1
7215,1
7216,1
7217,1
7218,1
7221,0
7223,1
7224,1
7225,0
7226,1
7227,1
7231,1
7232,1
7233,1
7234,1
7241,1
7242,1
7244,1
7245,1
7251,1
7255,1
7256,0
7261,1
7263,1
7271,0
7273,0
7274,1
7275,1
7311,0
7312,1
7313,1
7314,1
7315,1
7316,0
7317,1
7321,1
7322,1
7323,0
7324,0
7325,0
7326,1
7327,0
7328,0
7329,1
7331,1
7332,0
7333,0
7334,0
7335,0
7336,1
7339,1
7341,1
7345,1
7346,1
7348,1
7351,1
7352,1
7361,1
7364,0
7371,1
7381,0
7382,1
7383,1
7384,0
7391,0
7392,0
7395,1
7396,1
7397,1
7399,1
7411,0
7412,1
7413,0
7414,1
7415,0
7416,0
7417,0
7418,0
7419,0
7421,0
7422,1
7423,0
7424,0
7425,0
7426,1
7427,0
7428,1
7429,1
7431,1
7433,0
7434,1
7435,1
7437,1
7439,1
7441,1
7442,1
7443,1
7447,0
7448,0
7451,0
7461,0
7462,1
7463,0
7466,1
7467,1
7468,1
7471,0
7472,0
7475,1
7478,0
7481,0
7482,0
7483,0
7491,0
7495,1
7496,1
7497,1
7511,0
7512,0
7513,0
7514,0
7521,0
7522,0
7523,0
7524,1
7525,1
7531,0
7532,1
7533,0
7534,1
7535,0
7536,1
7541,0
7542,0
7543,0
7544,0
7545,0
7546,0
7547,1
7548,1
7551,0
7552,1
7553,1
7554,1
7555,0
7556,0
