pc4,INWONER_HH,P_MAN,P_VROUW,P_INW_014,P_INW_1524,P_INW_2544,P_INW_4564,P_INW_65PL,AV1_FOOD,AV3_FOOD,AV5_FOOD,OAD,P_NL_ACHTG,P_WE_MIG_A,P_NW_MIG_A,GEM_HH_GR,UITKMINAOW_HH,P_LINK_HH,P_HINK_HH,log_median_inc
1815.0,1.9592391304347827,0.4840499306518724,0.5159500693481276,0.13869625520110954,0.10887656033287099,0.26421636615811367,0.2857142857142857,0.20249653259362002,75.9,234.4,271.3,3186.9999999999995,80.0,10.0,10.0,2.0,0.13722826086956522,35.6,21.400000000000002,10.46024210819052
1816.0,1.885778275475924,0.5017814726840855,0.4982185273159145,0.13539192399049882,0.10748218527315914,0.2755344418052256,0.27019002375296913,0.2114014251781473,6.5,205.4,272.79999999999995,2129.0,70.0,10.0,20.0,1.9,0.2161254199328108,50.20000000000001,12.5,10.385913701780419
1817.0,2.1666666666666665,0.4780219780219781,0.521978021978022,0.16643741403026135,0.09766162310866576,0.22283356258596976,0.2929848693259973,0.2200825309491059,8.9,214.3,268.0,1749.0,80.0,10.0,0.0,2.2,0.11607142857142858,25.3,29.499999999999996,10.354563171896343
1821.0,1.9583333333333333,0.5045592705167173,0.4954407294832826,0.14893617021276595,0.0729483282674772,0.3465045592705167,0.2674772036474164,0.1641337386018237,26.7,232.9,258.2,2808.0,80.0,10.0,10.0,1.9,0.2261904761904762,44.6,11.2,10.482905967767731
1822.0,2.6300268096514747,0.5127420998980632,0.4872579001019368,0.2344546381243629,0.1111111111111111,0.2803261977573904,0.2813455657492355,0.09276248725790012,1.0,27.5,260.1,1402.0,80.0,10.0,10.0,2.6,0.16621983914209115,21.7,35.6,10.550590794594669
1823.0,2.1734375,0.4892086330935252,0.5107913669064749,0.16258992805755396,0.10647482014388487,0.2366906474820144,0.302158273381295,0.1920863309352518,31.900000000000002,219.8,262.20000000000005,2828.0,80.0,10.0,10.0,2.2,0.228125,38.9,18.6,10.561007555452925
1824.0,2.0760869565217392,0.4954188481675393,0.5045811518324608,0.15979043876882776,0.11198428290766207,0.2567125081859856,0.2423051735428945,0.22920759659463,4.5,216.8,260.5,2171.0,70.0,10.0,20.0,2.1,0.20380434782608692,43.3,12.1,10.465956409453957
1825.0,2.043956043956044,0.4962365591397849,0.5037634408602151,0.16612903225806452,0.1,0.2768817204301075,0.2881720430107527,0.16881720430107527,2.2,62.3,262.7,2100.0,70.0,10.0,20.0,2.0,0.25274725274725274,46.5,11.299999999999999,10.721062311471128
1826.0,2.1332236842105257,0.5007704160246533,0.4992295839753466,0.1697530864197531,0.10185185185185183,0.25848765432098764,0.2762345679012346,0.19367283950617287,2.1,22.7,229.7,2428.0,80.0,10.0,10.0,2.1,0.20394736842105265,36.1,14.3,10.668955394675699
1827.0,2.259023354564756,0.4967105263157895,0.5032894736842105,0.16917293233082706,0.11560150375939848,0.24483082706766923,0.32471804511278196,0.14567669172932332,0.7,12.700000000000001,64.4,1951.0000000000002,80.0,10.0,10.0,2.2,0.2197452229299363,35.8,20.5,10.671278276091838
