,pc4,AANTAL_HH,P_MAN,P_VROUW,P_INW_014,P_INW_1524,P_INW_2544,P_INW_4564,AFS_TREINS,AFS_TRNOVS,AFS_OPRIT,P_INW_65PL,AV1_FOOD,AV3_FOOD,AV5_FOOD,OAD,P_NL_ACHTG,P_WE_MIG_A,P_NW_MIG_A,GEM_HH_GR,P_UITKMINAOW,P_LINK_HH,P_HINK_HH,log_median_inc
3177,8338,350.0,51.17647058823529,48.82352941176471,17.543859649122805,12.280701754385966,21.637426900584796,30.409356725146196,2.4,12.7,0.8,18.12865497076024,1.3,45.8,52.90000000000001,89.0,100.0,0.0,,2.4,5.847953216374268,36.7,17.9,10.50232405362483
3178,8339,55.0,53.125,46.875,18.75,15.625,15.625,37.5,3.8,11.4,1.2,12.5,0.0,12.7,50.5,137.0,100.0,0.0,,2.9,6.25,33.1,28.3,
3179,8341,860.0,51.45118733509235,48.54881266490765,14.473684210526317,11.842105263157896,19.473684210526315,29.47368421052631,4.5,14.7,3.1,24.73684210526316,0.0,5.0,39.0,251.0,90.0,0.0,0.0,2.2,8.179419525065962,19.5,32.7,
3180,8342,95.0,50.98039215686274,49.019607843137244,15.686274509803921,15.686274509803921,15.686274509803921,37.25490196078432,3.9,16.8,1.1,15.686274509803921,1.6,7.5,49.8,41.0,100.0,,,2.6,6.0,54.2,12.7,10.578979797857352
3181,8343,250.0,49.59349593495935,50.40650406504065,15.573770491803279,10.655737704918032,19.672131147540988,36.88524590163935,4.8,17.7,0.5,17.21311475409836,0.8,6.9,26.2,582.0,90.0,10.0,0.0,2.4,6.504065040650407,26.1,28.7,10.485703172388794
3182,8344,135.0,53.125,46.875,12.698412698412698,14.285714285714285,15.873015873015872,38.09523809523809,10.0,17.9,1.6,19.047619047619047,0.5,1.8,3.1,117.0,90.0,0.0,0.0,2.4,7.936507936507936,26.7,25.5,10.261161996807944
3183,8345,115.0,52.459016393442624,47.54098360655738,16.666666666666664,11.666666666666666,16.666666666666664,33.33333333333333,8.7,14.3,0.8,21.666666666666668,3.3000000000000003,11.7,26.0,98.0,90.0,10.0,,2.6,4.918032786885247,33.6,24.9,10.526748605631909
3184,8346,170.0,52.94117647058824,47.05882352941176,13.23529411764706,10.294117647058824,23.52941176470588,30.88235294117647,14.7,23.5,0.8,22.058823529411764,6.0,6.6999999999999975,8.0,101.0,90.0,0.0,0.0,2.0,10.294117647058824,35.9,18.3,
3185,8347,240.0,51.66666666666667,48.33333333333333,17.647058823529413,9.243697478991596,23.52941176470588,29.411764705882355,11.2,23.1,1.4,20.16806722689076,0.0,4.5,9.0,55.0,100.0,0.0,0.0,2.5,5.833333333333333,,,10.712193073730344
3186,8351,340.0,51.89873417721519,48.10126582278481,17.088607594936708,8.860759493670885,21.51898734177216,33.54430379746836,13.5,23.6,2.2,18.987341772151886,0.0,0.0,8.0,43.0,100.0,0.0,,2.3,6.329113924050632,,,10.518673191626359
