pc4,AANTAL_HH,P_MAN,P_VROUW,P_INW_014,P_INW_1524,P_INW_2544,P_INW_4564,AFS_TREINS,AFS_TRNOVS,AFS_OPRIT,P_INW_65PL,AV1_FOOD,AV3_FOOD,AV5_FOOD,OAD,P_NL_ACHTG,P_WE_MIG_A,P_NW_MIG_A,GEM_HH_GR,P_UITKMINAOW,P_LINK_HH,P_HINK_HH,log_median_inc
9205,2060.0,0.5125523012552301,0.4874476987447699,0.17782426778242674,0.1401673640167364,0.2405857740585774,0.3190376569037657,18.4,20.3,3.4,0.12238493723849372,0.0,6.6,46.1,823.0,90.0,10.0,10.0,2.3,0.100418410041841,,,10.631036159813403
9206,25.0,0.5625,0.4375,0.25,0.1875,0.1875,0.3125,17.2,19.3,3.9,0.0625,1.8,2.9000000000000004,16.5,610.0,90.0,,,3.0,,36.9,18.6,10.645424897265503
9207,2395.0,0.5100725221595488,0.4899274778404513,0.1869460112812248,0.1297340854149879,0.23690572119258665,0.3053988718775181,18.2,21.6,4.9,0.14101531023368252,0.0,2.0,16.2,1007.0,90.0,10.0,10.0,2.5,0.0620467365028203,10.7,46.3,10.571316925111784
9211,75.0,0.58,0.42,0.18,0.3,0.12,0.26,17.5,22.2,5.9,0.14,0.0,0.4,4.9,328.0,90.0,0.0,0.0,2.5,0.04,,,10.507803519389457
9212,655.0,0.4894894894894895,0.5105105105105106,0.17964071856287425,0.1377245508982036,0.20958083832335328,0.2844311377245509,12.4,20.7,7.4,0.18862275449101795,0.5,1.3,2.5,271.0,100.0,0.0,0.0,2.5,0.0688622754491018,,,10.545341438708524
9213,270.0,0.4962406015037594,0.5037593984962406,0.10606060606060606,0.10606060606060606,0.08333333333333333,0.3787878787878788,14.9,19.7,3.9,0.3257575757575757,1.6,2.3,6.9,172.0,100.0,0.0,0.0,2.5,0.030075187969924814,32.4,19.2,10.480100916840122
9214,20.0,0.5,0.5,,,,,12.2,19.8,1.2,,0.7,3.3000000000000003,6.6,44.0,90.0,,,1.8,,24.9,30.2,10.561007555452925
9215,95.0,0.5208333333333334,0.4791666666666667,0.14583333333333334,0.14583333333333334,0.16666666666666666,0.3333333333333333,14.1,21.8,2.3,0.2083333333333333,1.9,4.5,49.9,18.0,100.0,0.0,,2.5,0.04166666666666666,31.2,22.1,10.419300717813158
9216,680.0,0.5267857142857143,0.4732142857142857,0.16666666666666666,0.13690476190476192,0.18154761904761904,0.30952380952380953,11.5,19.8,1.1,0.20535714285714285,0.0,1.4,7.2,146.0,100.0,0.0,0.0,2.5,0.05934718100890207,24.4,19.5,10.696480068065787
9217,175.0,0.5274725274725275,0.4725274725274725,0.15217391304347827,0.17391304347826084,0.2065217391304348,0.32608695652173914,15.4,25.4,0.8,0.14130434782608695,1.8,4.0,19.3,46.0,100.0,0.0,,2.6,0.04395604395604396,40.5,18.7,10.439980923050696
9218,670.0,0.5059171597633136,0.4940828402366864,0.16272189349112426,0.13609467455621302,0.19230769230769232,0.3017751479289941,16.8,28.4,2.5,0.2071005917159764,0.0,0.6,16.5,185.0,100.0,0.0,0.0,2.5,0.05325443786982249,29.9,21.3,10.302263672493496
9219,125.0,0.546875,0.453125,0.15384615384615385,0.12307692307692307,0.16923076923076924,0.3384615384615385,14.6,28.3,2.3,0.2153846153846154,0.8,1.4,18.6,39.0,100.0,0.0,,2.5,0.046875,40.5,16.3,10.3797217315325
9221,585.0,0.5092936802973977,0.4907063197026023,0.14869888475836432,0.13011152416356878,0.1970260223048327,0.3234200743494424,10.8,29.9,1.4,0.20074349442379186,7.3,16.299999999999994,24.9,169.0,100.0,0.0,0.0,2.3,0.07806691449814128,46.6,11.7,10.529425983402623
9222,450.0,0.5289256198347108,0.4710743801652893,0.17768595041322313,0.13636363636363635,0.2024793388429752,0.3140495867768595,14.0,28.7,2.3,0.16942148760330578,0.2,2.8,17.799999999999994,89.0,100.0,0.0,0.0,2.7,0.061983471074380174,37.8,14.2,10.529425983402623
9223,375.0,0.5027624309392266,0.4972375690607735,0.16483516483516486,0.12637362637362634,0.23626373626373626,0.29120879120879123,24.3,24.4,2.0,0.1813186813186813,0.6,1.1,3.4000000000000004,162.0,100.0,0.0,0.0,2.4,0.1160220994475138,38.6,19.3,10.439980923050696
9231,2675.0,0.4908789386401327,0.5091210613598673,0.16404308202154094,0.1060480530240265,0.21292460646230324,0.27340513670256833,24.1,28.9,0.9,0.2435791217895609,2.2,5.5,9.2,662.0,100.0,0.0,0.0,2.2,0.08789386401326699,33.9,20.0,10.454494965934948
9233,490.0,0.5189873417721519,0.4810126582278481,0.1722689075630252,0.1092436974789916,0.2352941176470588,0.3025210084033613,18.5,19.0,2.2,0.18067226890756305,5.199999999999998,8.0,9.4,145.0,100.0,0.0,0.0,2.4,0.08016877637130802,35.9,20.2,10.376611309118108
9241,855.0,0.5061425061425061,0.4938574938574938,0.17936117936117935,0.12776412776412774,0.2063882063882064,0.3046683046683047,12.6,16.5,3.9,0.18181818181818185,0.6,1.1,5.1,124.0,90.0,0.0,0.0,2.4,0.06388206388206387,30.9,24.4,10.385913701780419
