,pc4,INWONER,P_MAN,P_VROUW,P_INW_014,P_INW_1524,P_INW_2544,P_INW_4564,P_INW_65PL,AV1_FOOD,AV3_FOOD,AV5_FOOD,OAD,P_NL_ACHTG,P_WE_MIG_A,P_NW_MIG_A,GEM_HH_GR,UITKMINAOW,P_LINK_HH,P_HINK_HH,log_median_inc
2185,6063,2335.0,0.5074946466809421,0.4925053533190578,0.10920770877944326,0.09421841541755889,0.19271948608137046,0.33832976445396146,0.26552462526766596,9.200000000000001,15.899999999999999,34.900000000000006,253.0,80.0,20.0,0.0,2.1,185.0,35.9,18.2,10.596634733096073
2186,6065,3075.0,0.4943089430894309,0.5056910569105691,0.13008130081300814,0.1073170731707317,0.2016260162601626,0.3121951219512195,0.24878048780487805,3.5,14.5,47.4,338.0,90.0,10.0,0.0,2.3,215.0,35.1,18.2,10.671278276091838
2187,6067,3605.0,0.5048543689320388,0.49514563106796117,0.11357340720221606,0.10249307479224377,0.1994459833795014,0.3337950138504155,0.25069252077562326,4.8999999999999995,13.5,48.6,456.0,90.0,10.0,0.0,2.2,275.0,34.8,17.5,10.46310334047155
2188,6071,8750.0,0.4908571428571429,0.5091428571428571,0.14,0.09542857142857143,0.22342857142857142,0.3057142857142857,0.23542857142857143,2.5,12.3,37.8,671.0,80.0,10.0,0.0,2.2,725.0,33.2,23.3,10.499573020252942
2189,6074,3630.0,0.4986225895316804,0.5013774104683195,0.1584022038567493,0.08953168044077135,0.21487603305785125,0.29476584022038566,0.24242424242424243,3.0,14.3,44.2,488.0,80.0,10.0,0.0,2.2,305.0,32.1,18.2,10.576432025778553
2190,6075,4205.0,0.4982164090368609,0.5017835909631391,0.12128418549346016,0.09274673008323424,0.19738406658739596,0.3162901307966706,0.272294887039239,7.4,17.4,101.6,480.0,80.0,20.0,0.0,2.1,370.0,26.9,23.0,10.545341438708522
2191,6077,3365.0,0.5066864784546805,0.4933135215453195,0.1099554234769688,0.09361069836552749,0.16790490341753342,0.31946508172362553,0.30906389301634474,6.5,12.200000000000001,25.299999999999997,386.0,80.0,10.0,0.0,2.1,240.0,32.7,21.8,10.477287975463508
2192,6081,4330.0,0.49191685912240185,0.5080831408775982,0.1235565819861432,0.10739030023094688,0.20092378752886836,0.2979214780600462,0.2702078521939954,5.4,17.200000000000003,36.5,550.0,80.0,10.0,0.0,2.1,335.0,30.5,23.1,10.555812738575819
2193,6082,945.0,0.5291005291005291,0.4708994708994709,0.14814814814814814,0.12169312169312169,0.21164021164021163,0.328042328042328,0.19047619047619047,0.9,1.9,7.9,197.0,90.0,10.0,0.0,2.3,55.0,29.9,23.3,10.645424897265505
2194,6083,675.0,0.5185185185185185,0.48148148148148145,0.1259259259259259,0.1037037037037037,0.18518518518518517,0.3111111111111111,0.2740740740740741,1.5,3.2,19.5,283.0,90.0,10.0,0.0,2.2,50.0,33.8,23.4,10.561007555452923
2195,6085,3775.0,0.49867724867724866,0.5013227513227513,0.11772486772486772,0.1164021164021164,0.18386243386243387,0.31746031746031744,0.26455026455026454,1.9,3.3,21.9,426.0,90.0,10.0,0.0,2.2,245.0,32.0,24.8,10.499573020252942
2196,6086,3345.0,0.5216741405082213,0.47832585949177875,0.13602391629297458,0.11509715994020926,0.20328849028400597,0.31689088191330345,0.22869955156950672,10.4,21.1,34.1,309.0,90.0,10.0,0.0,2.3,190.0,35.9,20.4,10.494048144320972
2197,6088,4215.0,0.5112692763938316,0.4887307236061684,0.12930011862396204,0.1257413997627521,0.20759193357058126,0.32265717674970346,0.2147093712930012,2.1,8.1,31.300000000000004,385.0,90.0,10.0,0.0,2.3,300.0,31.5,23.0,10.073230327123223
2198,6089,770.0,0.5194805194805194,0.4805194805194805,0.16339869281045752,0.10457516339869281,0.20261437908496732,0.3137254901960784,0.21568627450980393,2.7,5.8,35.599999999999994,87.0,90.0,10.0,0.0,2.3,60.0,26.1,26.5,10.576432025778553
2199,6091,725.0,0.5273972602739726,0.4726027397260274,0.17123287671232876,0.08904109589041095,0.2465753424657534,0.2602739726027397,0.2328767123287671,5.3999999999999995,16.2,33.1,87.0,90.0,10.0,0.0,2.3,25.0,28.0,24.0,10.553205175168737
2200,6092,320.0,0.515625,0.484375,0.14285714285714285,0.1111111111111111,0.20634920634920634,0.38095238095238093,0.15873015873015872,5.0,13.8,36.1,114.0,90.0,10.0,0.0,2.4,15.0,25.2,24.0,10.154246270883311
2201,6093,6495.0,0.4896073903002309,0.5103926096997691,0.11932255581216321,0.10469591993841416,0.1924557351809084,0.30177059276366436,0.2817551963048499,15.299999999999999,50.6,65.2,650.0,90.0,10.0,0.0,2.1,455.0,43.3,16.5,10.338511462885837
2202,6095,2535.0,0.514792899408284,0.48520710059171596,0.14566929133858267,0.1220472440944882,0.1968503937007874,0.30708661417322836,0.2283464566929134,8.2,43.3,66.2,266.0,80.0,10.0,10.0,2.3,170.0,34.4,20.1,10.288749953326773
2203,6096,1650.0,0.5181818181818182,0.4818181818181818,0.13595166163141995,0.09667673716012085,0.2054380664652568,0.3413897280966767,0.22054380664652568,3.0,5.1,7.3,206.0,90.0,10.0,0.0,2.3,110.0,35.1,20.1,10.25061708363133
2204,6097,4420.0,0.5101809954751131,0.48981900452488686,0.10972850678733032,0.10180995475113122,0.18212669683257918,0.3438914027149321,0.26244343891402716,1.1,4.0,13.299999999999999,367.0,90.0,10.0,0.0,2.2,650.0,29.5,25.1,10.631036159813405
2205,6099,1750.0,0.5114285714285715,0.48857142857142855,0.1174785100286533,0.10601719197707736,0.17478510028653296,0.332378223495702,0.2693409742120344,8.899999999999999,13.7,30.8,257.0,90.0,10.0,0.0,2.2,100.0,32.3,24.5,10.594131602877955
2206,6101,9475.0,0.49182058047493404,0.508179419525066,0.1187961985216473,0.09767687434002112,0.21594508975712778,0.31573389651531153,0.2518479408658923,1.5,12.2,40.800000000000004,1118.0,80.0,10.0,10.0,2.1,1015.0,30.8,25.8,10.524064040261237
2207,6102,5005.0,0.5204795204795205,0.47952047952047955,0.12574850299401197,0.09381237524950099,0.2125748502994012,0.312375249500998,0.2554890219560878,3.6000000000000005,32.0,82.4,643.0,80.0,10.0,10.0,2.2,535.0,28.7,24.0,10.576432025778553
2208,6104,1665.0,0.5060240963855421,0.4939759036144578,0.12951807228915663,0.09337349397590361,0.18373493975903615,0.3433734939759036,0.25,3.3,20.1,91.0,151.0,80.0,20.0,0.0,2.2,145.0,25.1,25.4,
2209,6105,1300.0,0.5096525096525096,0.49034749034749037,0.11153846153846154,0.07692307692307693,0.18461538461538463,0.36923076923076925,0.25769230769230766,10.3,21.0,50.099999999999994,91.0,80.0,10.0,0.0,2.2,90.0,38.4,18.9,10.573877745973457
2210,6107,1670.0,0.5029940119760479,0.49700598802395207,0.13813813813813813,0.08708708708708708,0.2072072072072072,0.32432432432432434,0.24324324324324326,2.6,5.4,23.2,233.0,90.0,10.0,0.0,2.3,105.0,36.1,21.4,10.154246270883311
