pc4,INWONER,P_MAN,P_VROUW,P_INW_014,P_INW_1524,P_INW_2544,P_INW_4564,P_INW_65PL,AV1_FOOD,AV3_FOOD,AV5_FOOD,OAD,P_NL_ACHTG,P_WE_MIG_A,P_NW_MIG_A,GEM_HH_GR,UITKMINAOW,P_LINK_HH,P_HINK_HH,log_median_inc
1731.0,3389.9999999999995,0.5058997050147492,0.4941002949852507,0.20029455081001474,0.11782032400589099,0.2533136966126657,0.2798232695139912,0.1487481590574374,2.1,9.5,14.3,438.0,90.0,10.0,0.0,2.5,200.0,30.4,22.9,10.77268667687643
1732.0,750.0,0.5266666666666666,0.4733333333333333,0.14666666666666667,0.11333333333333331,0.20666666666666667,0.3333333333333333,0.2,0.7,3.0,13.900000000000002,73.0,90.0,10.0,0.0,2.4,40.0,30.3,23.5,10.633448706218788
1733.0,3370.0,0.5022288261515602,0.4977711738484398,0.14836795252225518,0.1261127596439169,0.19287833827893172,0.3100890207715133,0.2225519287833828,3.2,10.3,15.3,383.99999999999994,90.0,10.0,0.0,2.4,215.0,31.2,25.5,10.425253116340453
1734.0,410.0,0.5243902439024389,0.475609756097561,0.12345679012345678,0.13580246913580246,0.14814814814814814,0.34567901234567894,0.24691358024691362,0.4,4.1,17.3,47.0,100.0,0.0,0.3333333333333333,2.7,15.0,18.3,42.5,10.547969561114792
1735.0,2110.0,0.514218009478673,0.485781990521327,0.16824644549763032,0.12559241706161134,0.2014218009478673,0.3009478672985782,0.2037914691943128,1.7000000000000002,3.3,13.900000000000002,232.0,90.0,10.0,0.0,2.4,100.0,32.7,22.6,10.661954199216716
1736.0,390.0,0.5128205128205128,0.4871794871794872,0.1518987341772152,0.1518987341772152,0.16455696202531644,0.35443037974683544,0.17721518987341775,0.0,2.8000000000000003,11.0,152.0,100.0,0.0,0.0,2.6,10.0,23.6,34.0,10.542706391070515
1738.0,2620.0,0.5123809523809524,0.4876190476190476,0.15458015267175573,0.15267175572519084,0.19083969465648856,0.30534351145038174,0.1965648854961832,0.8,2.7,22.1,287.0,90.0,10.0,0.0,2.4,135.0,30.5,28.4,10.571316925111784
1741.0,12470.0,0.4809466506217409,0.5190533493782591,0.15276663993584602,0.09582999198075379,0.21130713712910987,0.25220529270248604,0.28789093825180434,22.3,51.8,56.199999999999996,1585.9999999999998,90.0,10.0,10.0,2.1,880.0,40.8,17.4,10.626193535337617
1742.0,6560.0,0.5,0.5,0.14797864225781845,0.12051868802440885,0.20137299771167047,0.3043478260869565,0.2257818459191457,4.7,51.50000000000001,57.40000000000001,982.0,90.0,10.0,10.0,2.2,515.0,32.9,19.3,10.668955394675699
1744.0,1899.9999999999998,0.5263157894736842,0.4736842105263158,0.14210526315789473,0.11842105263157895,0.16052631578947368,0.33421052631578946,0.2447368421052632,0.7,5.2,32.2,126.99999999999999,90.0,10.0,0.0,2.3,100.0,27.4,26.5,10.705489138008156
